    The terminal did not allow me to get all the data before here so here is the rest of the data
    I should have exported the results into a file but it took so long to run 
    
    5437823 |             27
    5437824 |             38
    5437825 |             43
    5437826 |             35
    5437827 |             37
    5437828 |             40
    5437829 |             30
    5437830 |             50
    5437831 |             31
    5437832 |             35
    5437833 |             30
    5437834 |             31
    5437835 |             47
    5437836 |             37
    5437837 |             44
    5437838 |             42
    5437839 |             33
    5437840 |             39
    5437841 |             16
    5437842 |             53
    5437843 |             48
    5437844 |             16
    5437845 |             35
    5437846 |             18
    5437847 |             39
    5437848 |             26
    5437849 |             31
    5437850 |             31
    5437851 |             14
    5437852 |             25
    5437853 |             32
    5437854 |             38
    5437855 |             45
    5437856 |             16
    5437857 |             43
    5437858 |             52
    5437859 |             47
    5437860 |             22
    5437861 |             44
    5437862 |             38
    5437863 |             20
    5437864 |             18
    5437865 |             37
    5437866 |             48
    5437867 |             38
    5437868 |             34
    5437869 |             43
    5437870 |             33
    5437871 |             46
    5437872 |             36
    5437873 |             14
    5437874 |             45
    5437875 |             39
    5437876 |             27
    5437877 |             42
    5437878 |             25
    5437879 |             52
    5437880 |             54
    5437881 |             23
    5437882 |             51
    5437883 |             45
    5437884 |             11
    5437885 |             41
    5437886 |             37
    5437887 |             21
    5437888 |             38
    5437889 |             26
    5437890 |             47
    5437891 |             48
    5437892 |             16
    5437893 |             29
    5437894 |             46
    5437895 |             27
    5437896 |             35
    5437897 |             45
    5437898 |             42
    5437899 |             24
    5437900 |             44
    5437901 |             40
    5437902 |             27
    5437903 |             26
    5437904 |             39
    5437905 |             26
    5437906 |             32
    5437907 |             45
    5437908 |             39
    5437909 |             30
    5437910 |             36
    5437911 |             32
    5437912 |             30
    5437913 |             32
    5437914 |             41
    5437915 |             19
    5437916 |             38
    5437917 |             26
    5437918 |             40
    5437919 |             20
    5437920 |             30
    5437921 |             57
    5437922 |             19
    5437923 |             18
    5437924 |             42
    5437925 |             37
    5437926 |             29
    5437927 |             45
    5437928 |             20
    5437929 |             37
    5437930 |             42
    5437931 |             45
    5437932 |             55
    5437933 |             49
    5437934 |             33
    5437935 |             46
    5437936 |             32
    5437937 |             32
    5437938 |             12
    5437939 |             36
    5437940 |              4
    5437941 |             44
    5437942 |             39
    5437943 |             34
    5437944 |             29
    5437945 |             54
    5437946 |             29
    5437947 |             38
    5437948 |             34
    5437949 |             46
    5437950 |             42
    5437951 |             34
    5437952 |             42
    5437953 |             47
    5437954 |             32
    5437955 |             41
    5437956 |             47
    5437957 |             27
    5437958 |             30
    5437959 |             41
    5437960 |             21
    5437961 |             45
    5437962 |             32
    5437963 |             36
    5437964 |             33
    5437965 |             44
    5437966 |             18
    5437967 |             40
    5437968 |             28
    5437969 |             39
    5437970 |             50
    5437971 |             37
    5437972 |             35
    5437973 |             41
    5437974 |             37
    5437975 |             36
    5437976 |             44
    5437977 |             37
    5437978 |             30
    5437979 |             35
    5437980 |             23
    5437981 |             48
    5437982 |             22
    5437983 |             42
    5437984 |             31
    5437985 |             16
    5437986 |             36
    5437987 |             32
    5437988 |             44
    5437989 |             28
    5437990 |             37
    5437991 |             39
    5437992 |             39
    5437993 |             29
    5437994 |             47
    5437995 |             36
    5437996 |             25
    5437997 |             37
    5437998 |             35
    5437999 |             42
    5438000 |             21
    5438001 |             47
    5438002 |             27
    5438003 |             32
    5438004 |             44
    5438005 |             43
    5438006 |             53
    5438007 |             34
    5438008 |             25
    5438009 |             48
    5438010 |             41
    5438011 |             36
    5438012 |             45
    5438013 |              9
    5438014 |             35
    5438015 |             32
    5438016 |             27
    5438017 |             38
    5438018 |             41
    5438019 |             41
    5438020 |             28
    5438021 |             47
    5438022 |             40
    5438023 |             23
    5438024 |             46
    5438025 |             37
    5438026 |             38
    5438027 |             35
    5438028 |             14
    5438029 |             35
    5438030 |             29
    5438031 |             24
    5438032 |             24
    5438033 |             27
    5438034 |             48
    5438035 |             42
    5438036 |             26
    5438037 |             33
    5438038 |             23
    5438039 |             27
    5438040 |             46
    5438041 |             35
    5438042 |             49
    5438043 |             38
    5438044 |             33
    5438045 |             41
    5438046 |             25
    5438047 |             41
    5438048 |             31
    5438049 |             43
    5438050 |             25
    5438051 |             29
    5438052 |             51
    5438053 |             51
    5438054 |             23
    5438055 |             31
    5438056 |             32
    5438057 |             27
    5438058 |             33
    5438059 |             39
    5438060 |             27
    5438061 |             21
    5438062 |             31
    5438063 |             26
    5438064 |             31
    5438065 |             36
    5438066 |             15
    5438067 |             43
    5438068 |              7
    5438069 |             37
    5438070 |             16
    5438071 |             24
    5438072 |             41
    5438073 |             50
    5438074 |             25
    5438075 |             34
    5438076 |             37
    5438077 |             31
    5438078 |             40
    5438079 |             42
    5438080 |             47
    5438081 |             29
    5438082 |             33
    5438083 |             39
    5438084 |             35
    5438085 |             22
    5438086 |             41
    5438087 |             34
    5438088 |             30
    5438089 |             35
    5438090 |             17
    5438091 |             29
    5438092 |             18
    5438093 |             45
    5438094 |             27
    5438095 |             38
    5438096 |             30
    5438097 |             20
    5438098 |             48
    5438099 |             43
    5438100 |             34
    5438101 |             10
    5438102 |             34
    5438103 |             33
    5438104 |             40
    5438105 |             36
    5438106 |             28
    5438107 |             27
    5438108 |             30
    5438109 |             32
    5438110 |             47
    5438111 |             28
    5438112 |             27
    5438113 |             38
    5438114 |             35
    5438115 |             34
    5438116 |             23
    5438117 |             25
    5438118 |             27
    5438119 |             44
    5438120 |             32
    5438121 |             27
    5438122 |             42
    5438123 |             32
    5438124 |             41
    5438125 |             19
    5438126 |             42
    5438127 |             25
    5438128 |             49
    5438129 |             23
    5438130 |             41
    5438131 |             49
    5438132 |             47
    5438133 |             40
    5438134 |             40
    5438135 |             14
    5438136 |             49
    5438137 |             39
    5438138 |             46
    5438139 |             35
    5438140 |             33
    5438141 |             33
    5438142 |             34
    5438143 |             36
    5438144 |             41
    5438145 |             48
    5438146 |             14
    5438147 |             34
    5438148 |             21
    5438149 |             37
    5438150 |             40
    5438151 |             53
    5438152 |             42
    5438153 |             18
    5438154 |             22
    5438155 |             37
    5438156 |             37
    5438157 |             32
    5438158 |             38
    5438159 |             25
    5438160 |             40
    5438161 |             38
    5438162 |             37
    5438163 |             47
    5438164 |             22
    5438165 |             24
    5438166 |             37
    5438167 |             20
    5438168 |             24
    5438169 |             30
    5438170 |             32
    5438171 |             41
    5438172 |             22
    5438173 |             22
    5438174 |             39
    5438175 |             35
    5438176 |             49
    5438177 |             36
    5438178 |             39
    5438179 |             15
    5438180 |             27
    5438181 |             29
    5438182 |             49
    5438183 |             35
    5438184 |             26
    5438185 |             46
    5438186 |             34
    5438187 |             29
    5438188 |             16
    5438189 |             43
    5438190 |             45
    5438191 |             31
    5438192 |             43
    5438193 |             37
    5438194 |             41
    5438195 |             33
    5438196 |             38
    5438197 |             27
    5438198 |             29
    5438199 |             44
    5438200 |             33
    5438201 |              7
    5438202 |             41
    5438203 |             45
    5438204 |             32
    5438205 |             20
    5438206 |             26
    5438207 |             36
    5438208 |             17
    5438209 |             22
    5438210 |             44
    5438211 |             28
    5438212 |             35
    5438213 |             28
    5438214 |             12
    5438215 |             36
    5438216 |             33
    5438217 |             32
    5438218 |             54
    5438219 |             35
    5438220 |             26
    5438221 |             44
    5438222 |             56
    5438223 |             22
    5438224 |             41
    5438225 |             45
    5438226 |             20
    5438227 |             31
    5438228 |             40
    5438229 |             40
    5438230 |             43
    5438231 |             39
    5438232 |             51
    5438233 |             36
    5438234 |             36
    5438235 |             22
    5438236 |             28
    5438237 |             29
    5438238 |             37
    5438239 |             33
    5438240 |             54
    5438241 |             57
    5438242 |             30
    5438243 |             41
    5438244 |             33
    5438245 |             46
    5438246 |             33
    5438247 |             37
    5438248 |             37
    5438249 |             22
    5438250 |             21
    5438251 |             43
    5438252 |             44
    5438253 |             30
    5438254 |             24
    5438255 |             39
    5438256 |             38
    5438257 |             21
    5438258 |              7
    5438259 |             20
    5438260 |             43
    5438261 |             49
    5438262 |             46
    5438263 |             41
    5438264 |             35
    5438265 |             30
    5438266 |             17
    5438267 |             16
    5438268 |             25
    5438269 |             34
    5438270 |             34
    5438271 |             34
    5438272 |             23
    5438273 |             31
    5438274 |             41
    5438275 |             28
    5438276 |             21
    5438277 |             48
    5438278 |             35
    5438279 |             25
    5438280 |             13
    5438281 |             44
    5438282 |             41
    5438283 |             23
    5438284 |             26
    5438285 |             45
    5438286 |             48
    5438287 |             26
    5438288 |             39
    5438289 |             46
    5438290 |             19
    5438291 |             38
    5438292 |             47
    5438293 |             30
    5438294 |             26
    5438295 |             38
    5438296 |             28
    5438297 |             10
    5438298 |             17
    5438299 |             30
    5438300 |             41
    5438301 |             40
    5438302 |             37
    5438303 |             39
    5438304 |             32
    5438305 |             37
    5438306 |             43
    5438307 |             18
    5438308 |             34
    5438309 |             30
    5438310 |             38
    5438311 |             46
    5438312 |             27
    5438313 |             29
    5438314 |             19
    5438315 |             36
    5438316 |             43
    5438317 |             40
    5438318 |             34
    5438319 |             45
    5438320 |             45
    5438321 |             32
    5438322 |             22
    5438323 |             35
    5438324 |             42
    5438325 |             28
    5438326 |             35
    5438327 |             36
    5438328 |             24
    5438329 |             40
    5438330 |             41
    5438331 |             47
    5438332 |             32
    5438333 |             45
    5438334 |             40
    5438335 |             45
    5438336 |             38
    5438337 |             47
    5438338 |             42
    5438339 |             53
    5438340 |             47
    5438341 |             40
    5438342 |             23
    5438343 |             46
    5438344 |             52
    5438345 |             19
    5438346 |             41
    5438347 |             33
    5438348 |             27
    5438349 |             34
    5438350 |             47
    5438351 |             43
    5438352 |             52
    5438353 |             35
    5438354 |             49
    5438355 |             29
    5438356 |             44
    5438357 |             36
    5438358 |             41
    5438359 |             41
    5438360 |             35
    5438361 |             32
    5438362 |             39
    5438363 |             43
    5438364 |             32
    5438365 |             28
    5438366 |             44
    5438367 |             31
    5438368 |             32
    5438369 |             32
    5438370 |             35
    5438371 |             28
    5438372 |             38
    5438373 |             52
    5438374 |             31
    5438375 |             30
    5438376 |             32
    5438377 |             40
    5438378 |             16
    5438379 |             36
    5438380 |             24
    5438381 |             48
    5438382 |             45
    5438383 |             41
    5438384 |             41
    5438385 |             18
    5438386 |             45
    5438387 |             43
    5438388 |             35
    5438389 |             50
    5438390 |             38
    5438391 |             43
    5438392 |             41
    5438393 |             41
    5438394 |             52
    5438395 |             43
    5438396 |             45
    5438397 |             14
    5438398 |             36
    5438399 |             49
    5438400 |             28
    5438401 |             35
    5438402 |             39
    5438403 |             26
    5438404 |             38
    5438405 |             32
    5438406 |             45
    5438407 |             32
    5438408 |             32
    5438409 |             36
    5438410 |             32
    5438411 |             12
    5438412 |             15
    5438413 |             48
    5438414 |             27
    5438415 |             43
    5438416 |             47
    5438417 |             42
    5438418 |             28
    5438419 |             46
    5438420 |             54
    5438421 |             37
    5438422 |             33
    5438423 |             36
    5438424 |             51
    5438425 |             39
    5438426 |             35
    5438427 |             26
    5438428 |             38
    5438429 |             56
    5438430 |             41
    5438431 |             35
    5438432 |             37
    5438433 |             30
    5438434 |             36
    5438435 |             38
    5438436 |             20
    5438437 |             33
    5438438 |             14
    5438439 |             33
    5438440 |             25
    5438441 |             44
    5438442 |             34
    5438443 |             47
    5438444 |             32
    5438445 |             37
    5438446 |             29
    5438447 |             46
    5438448 |             38
    5438449 |             42
    5438450 |             50
    5438451 |             33
    5438452 |             37
    5438453 |             41
    5438454 |             49
    5438455 |             31
    5438456 |             40
    5438457 |             41
    5438458 |             42
    5438459 |             38
    5438460 |             28
